遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,109000001,2020/01/01,3791500,75830,694800,04,05,06,09,11,14,16,18,19,21,22,23
雙贏彩,109000002,2020/01/02,3027400,60548,933400,01,02,04,06,07,10,12,15,20,21,23,24
雙贏彩,109000003,2020/01/03,3098800,61976,703800,02,06,07,09,10,11,13,15,16,20,22,24
雙贏彩,109000004,2020/01/04,3940050,78801,1578700,04,05,06,09,10,13,15,18,19,21,23,24
雙贏彩,109000005,2020/01/06,3493950,69879,1025200,02,03,05,06,11,13,14,15,16,19,20,21
雙贏彩,109000006,2020/01/07,3047650,60953,983800,03,05,09,10,12,14,15,16,17,19,20,23
雙贏彩,109000007,2020/01/08,3913650,78273,558900,01,02,05,07,08,11,15,17,18,19,20,24
雙贏彩,109000008,2020/01/09,3114500,62290,1105500,01,03,05,07,08,10,11,13,15,18,22,23
雙贏彩,109000009,2020/01/10,3163350,63267,1005700,04,06,07,08,09,10,11,15,16,17,19,23
雙贏彩,109000010,2020/01/11,3925400,78508,964700,01,02,03,06,09,10,12,13,14,15,18,24
雙贏彩,109000011,2020/01/13,3323650,66473,724400,02,04,08,09,10,11,12,14,17,21,22,24
雙贏彩,109000012,2020/01/14,2978950,59579,583400,01,02,03,04,07,12,13,15,16,17,18,21
雙贏彩,109000013,2020/01/15,3921800,78436,1193000,04,05,08,09,10,11,12,13,14,15,17,18
雙贏彩,109000014,2020/01/16,3148650,62973,595600,02,03,04,06,08,12,15,18,19,20,21,22
雙贏彩,109000015,2020/01/17,3066550,61331,912300,03,04,05,09,10,12,16,17,18,20,22,24
雙贏彩,109000016,2020/01/18,3913700,78274,865900,01,03,05,06,08,10,15,18,19,20,21,23
雙贏彩,109000017,2020/01/20,3454800,69096,620100,01,03,05,06,08,11,12,14,16,17,18,24
雙贏彩,109000018,2020/01/21,3058300,61166,1577700,04,05,07,08,09,11,13,15,16,18,19,24
雙贏彩,109000019,2020/01/22,3954150,79083,2452200,01,05,06,07,09,11,15,16,17,19,21,23
雙贏彩,109000020,2020/01/23,3093600,61872,811100,01,03,04,08,10,14,16,17,19,20,21,23
雙贏彩,109000021,2020/01/24,3425350,68507,577900,01,03,04,06,08,11,14,15,16,20,21,23
雙贏彩,109000022,2020/01/25,3562750,71255,1445500,02,03,09,10,11,12,13,18,19,20,21,23
雙贏彩,109000023,2020/01/27,3865200,77304,1100900,03,04,06,11,15,16,17,18,19,20,21,22
雙贏彩,109000024,2020/01/28,3266700,65334,894300,01,04,05,08,11,12,14,15,16,18,19,20
雙贏彩,109000025,2020/01/29,3295650,65913,1108600,06,07,09,10,13,14,15,16,17,20,21,23
雙贏彩,109000026,2020/01/30,3081900,61638,492600,01,04,07,10,11,16,17,18,20,21,22,23
雙贏彩,109000027,2020/01/31,3123850,62477,1007400,01,04,05,07,08,10,13,14,15,19,21,23
雙贏彩,109000028,2020/02/01,3077200,61544,1060900,01,02,04,05,06,07,12,15,17,19,20,23
雙贏彩,109000029,2020/02/03,3416800,68336,950400,01,02,04,06,10,11,16,17,19,20,22,23
雙贏彩,109000030,2020/02/04,2815900,56318,965900,01,02,03,06,08,13,19,20,21,22,23,24
雙贏彩,109000031,2020/02/05,3639850,72797,850000,02,05,06,08,09,13,16,17,18,19,21,24
雙贏彩,109000032,2020/02/06,3050700,61014,791400,01,04,05,08,10,12,13,19,20,21,22,23
雙贏彩,109000033,2020/02/07,2991350,59827,771900,03,04,05,06,07,08,10,12,13,14,17,20
雙贏彩,109000034,2020/02/08,3912950,78259,1247900,02,04,05,07,09,10,15,16,19,20,21,22
雙贏彩,109000035,2020/02/10,3325050,66501,1031600,01,04,05,06,08,09,12,14,16,17,19,24
雙贏彩,109000036,2020/02/11,3035650,60713,594300,01,02,04,07,08,10,12,14,19,20,23,24
雙贏彩,109000037,2020/02/12,3923800,78476,1090900,02,05,09,11,14,15,16,17,18,19,22,24
雙贏彩,109000038,2020/02/13,3058700,61174,669100,01,02,03,06,11,13,14,15,17,19,20,22
雙贏彩,109000039,2020/02/14,3047050,60941,698400,01,03,04,05,10,11,12,13,16,19,20,23
雙贏彩,109000040,2020/02/15,3945600,78912,780000,01,02,03,04,06,09,12,14,15,17,21,23
雙贏彩,109000041,2020/02/17,3231550,64631,832300,05,06,07,09,10,11,12,15,17,19,20,21
雙贏彩,109000042,2020/02/18,2830450,56609,585000,01,06,07,10,13,15,17,18,20,21,23,24
雙贏彩,109000043,2020/02/19,3727400,74548,1547300,01,02,03,04,07,11,13,17,18,20,22,23
雙贏彩,109000044,2020/02/20,2973700,59474,785100,02,04,07,09,11,16,17,18,20,21,23,24
雙贏彩,109000045,2020/02/21,2938250,58765,15681600,02,04,05,06,07,08,09,15,16,18,21,23
雙贏彩,109000046,2020/02/22,3609650,72193,1053600,01,04,05,06,08,09,13,14,17,19,20,23
雙贏彩,109000047,2020/02/24,3250800,65016,1345300,01,02,03,04,05,09,11,12,13,14,15,23
雙贏彩,109000048,2020/02/25,2871850,57437,715300,01,02,04,09,10,11,12,13,18,22,23,24
雙贏彩,109000049,2020/02/26,3690550,73811,655400,06,07,10,11,12,13,15,18,19,22,23,24
雙贏彩,109000050,2020/02/27,2979250,59585,700500,01,05,07,10,12,13,14,16,18,19,22,23
雙贏彩,109000051,2020/02/28,2785900,55718,751900,01,02,05,06,09,10,11,15,18,19,21,23
雙贏彩,109000052,2020/02/29,3579350,71587,639400,02,09,10,11,12,14,15,16,17,19,20,22
雙贏彩,109000053,2020/03/02,3162000,63240,861200,02,06,09,12,14,15,16,17,19,22,23,24
雙贏彩,109000054,2020/03/03,2826500,56530,682000,01,06,08,09,10,11,12,14,15,19,22,24
雙贏彩,109000055,2020/03/04,3574000,71480,955300,02,04,05,06,07,09,13,17,18,19,20,22
雙贏彩,109000056,2020/03/05,2891750,57835,1041100,01,02,04,08,10,11,13,15,17,19,20,24
雙贏彩,109000057,2020/03/06,2915050,58301,1389300,02,04,05,07,09,10,11,15,16,17,19,22
雙贏彩,109000058,2020/03/07,3680300,73606,866300,01,04,06,09,10,11,15,16,20,21,23,24
雙贏彩,109000059,2020/03/09,3174800,63496,888800,02,04,05,08,10,12,13,14,16,19,20,24
雙贏彩,109000060,2020/03/10,2748100,54962,639300,04,05,06,07,09,10,12,13,15,19,22,23
雙贏彩,109000061,2020/03/11,3639300,72786,636600,02,09,10,11,12,14,15,16,17,19,21,24
雙贏彩,109000062,2020/03/12,2897850,57957,787500,03,05,07,09,10,11,14,15,19,21,23,24
雙贏彩,109000063,2020/03/13,2822900,56458,1162400,02,04,05,06,10,14,15,16,17,20,21,24
雙贏彩,109000064,2020/03/14,3447100,68942,1452100,03,08,10,12,15,16,17,18,19,20,21,23
雙贏彩,109000065,2020/03/16,3105300,62106,687000,02,08,09,10,13,14,15,17,20,21,22,24
雙贏彩,109000066,2020/03/17,2778150,55563,768100,01,04,05,06,09,12,14,19,20,21,22,23
雙贏彩,109000067,2020/03/18,3442200,68844,16554600,02,05,06,08,09,12,14,16,17,18,22,24
雙贏彩,109000068,2020/03/19,2702650,54053,452800,03,04,05,06,08,10,11,12,14,15,16,24
雙贏彩,109000069,2020/03/20,2838450,56769,1052900,01,02,05,07,08,11,16,17,19,20,21,24
雙贏彩,109000070,2020/03/21,3413500,68270,881700,02,04,06,08,10,11,16,17,19,20,23,24
雙贏彩,109000071,2020/03/23,2982850,59657,1383800,01,02,03,08,10,14,15,16,20,21,22,23
雙贏彩,109000072,2020/03/24,2696950,53939,666100,01,02,03,04,07,11,13,15,16,18,22,24
雙贏彩,109000073,2020/03/25,3374000,67480,925800,01,03,04,11,12,13,14,17,19,20,22,23
雙贏彩,109000074,2020/03/26,2690900,53818,675200,04,05,06,07,08,10,13,15,17,18,20,23
雙贏彩,109000075,2020/03/27,2755000,55100,1482800,01,04,06,09,11,13,14,16,19,20,21,23
雙贏彩,109000076,2020/03/28,3210150,64203,1522200,01,02,03,05,07,09,15,16,17,19,23,24
雙贏彩,109000077,2020/03/30,2863900,57278,566100,03,05,08,11,12,13,15,16,17,22,23,24
雙贏彩,109000078,2020/03/31,2699300,53986,15632600,03,04,05,06,10,11,14,17,18,20,22,23
雙贏彩,109000079,2020/04/01,3452450,69049,15736000,02,03,04,08,09,10,11,12,17,20,21,23
雙贏彩,109000080,2020/04/02,2702900,54058,1077500,06,09,10,11,12,14,15,16,17,19,20,24
雙贏彩,109000081,2020/04/03,2633600,52672,852000,02,05,09,10,11,13,14,17,18,19,21,23
雙贏彩,109000082,2020/04/04,3275900,65518,985700,01,02,03,04,06,08,09,11,12,15,19,24
雙贏彩,109000083,2020/04/06,2807550,56151,874300,01,02,07,09,12,16,17,18,19,22,23,24
雙贏彩,109000084,2020/04/07,2714100,54282,763400,02,03,04,06,10,12,13,15,18,19,21,24
雙贏彩,109000085,2020/04/08,3430500,68610,1048800,01,02,05,10,13,14,17,18,19,20,21,22
雙贏彩,109000086,2020/04/09,2729750,54595,1062600,01,02,06,07,08,10,13,15,17,20,21,24
雙贏彩,109000087,2020/04/10,2826350,56527,780600,02,03,04,07,09,10,11,14,15,19,20,23
雙贏彩,109000088,2020/04/11,3370100,67402,1038200,03,06,08,09,11,12,13,15,16,18,23,24
雙贏彩,109000089,2020/04/13,2925700,58514,880600,01,02,08,09,13,14,15,16,17,18,19,21
雙贏彩,109000090,2020/04/14,2719800,54396,959500,01,04,08,09,11,12,17,19,20,21,22,24
雙贏彩,109000091,2020/04/15,3371650,67433,692600,06,07,09,10,11,12,13,15,16,17,18,22
雙贏彩,109000092,2020/04/16,2677750,53555,671900,01,03,06,07,08,09,11,12,15,20,23,24
雙贏彩,109000093,2020/04/17,2776950,55539,270200,02,07,09,10,12,14,15,16,17,18,20,24
雙贏彩,109000094,2020/04/18,3273450,65469,1445600,01,03,04,05,06,07,08,12,14,16,20,23
雙贏彩,109000095,2020/04/20,2840850,56817,960500,01,02,04,05,06,07,08,13,15,20,22,23
雙贏彩,109000096,2020/04/21,2635100,52702,556700,03,04,05,11,14,15,17,20,21,22,23,24
